Title,URL,Speed,StartPos,Memo
"Yesterday (Remastered 2009)",https://www.youtube.com/watch?v=NrgmdOz227I,1.1,86.666,""
"Billy Joel - Leningrad (Official Video)",https://www.youtube.com/watch?v=LgD_-dRZPgs,1.1,1.412,""
"Simple Minds - Alive And Kicking",https://www.youtube.com/watch?t=19&v=ljIQo1OHkTI,1.07,19.496,""
"björk : human behaviour (HD)",https://www.youtube.com/watch?t=42&v=p0mRIhK9seg,1.07,19.496,"https://youtu.be/dapCJ-hWREc?si=UQi7NT0kiGQfaH6p"
"Enya - Orinoco Flow (Official 4K Music Video)",https://www.youtube.com/watch?v=LTrk4X9ACtw,1.1,0.000,""
"Sting - Englishman In New York",https://www.youtube.com/watch?v=d27gTrPPAyk,1.26,0.000,""
"Ian Pooley - Today",https://www.youtube.com/watch?v=4-22AAnhhjY,1,0.000,""
